1607717524	98548	997773	199669
1607717534	99144	1002353	200767
1607717545	99682	1007580	201964
1607717555	100190	1012372	202792
1607717565	100608	1016954	203782
1607717575	101078	1022508	204810
1607717585	101598	1027342	205608
1607717595	102134	1031900	206534
1607717605	102630	1036846	207556
1607717615	103202	1041720	208633
1607717625	103706	1046284	209696
1607717635	104058	1051236	210700
1607717645	104466	1056392	211602
1607717655	104902	1061036	212612
1607717665	105374	1065548	213450
1607717675	105900	1071148	214340
1607717685	106466	1076580	215626
1607717695	107002	1081826	216772
1607717705	107442	1087240	217704
1607717715	108016	1092374	218761
1607717725	108522	1097304	219842
1607717735	108962	1101958	220983
1607717745	109396	1107110	222058
1607717755	109734	1112188	223126
1607717765	110300	1117182	224154
1607717775	110898	1122184	225052
1607717785	111420	1127140	226048
1607717795	112036	1131778	226983
1607717805	112570	1136724	228100
1607717815	112970	1141200	229128
1607717825	113574	1146174	230114
1607717835	113982	1150470	231020
1607717845	114426	1155438	232088
1607717855	114900	1160264	233088
1607717865	115474	1165390	234190
1607717875	115960	1170460	235286
1607717885	116506	1175776	236222
1607717895	116944	1180192	237230
1607717905	117396	1184732	238210
1607717915	117822	1190274	239052
1607717925	118446	1195668	240016
1607717935	118988	1201142	241022
1607717945	119576	1205978	242142
1607717955	120156	1210256	243148
1607717965	120658	1215016	244126
1607717975	121020	1219892	245210
1607717985	121396	1225020	246346
1607717995	121906	1230110	247572
1607718005	122406	1234480	248530
1607718015	122946	1239732	249492
1607718025	123378	1245012	250524
1607718035	124074	1249794	251392
1607718045	124658	1254562	252426
1607718055	125194	1259546	253594
1607718065	125784	1264198	254526
1607718075	126284	1268798	255422
1607718085	126654	1273586	256532
1607718095	127136	1278388	257414
1607718105	127676	1283716	258210
1607718115	128168	1287840	259290
1607718125	128584	1292052	260332
1607718135	129122	1296634	261300
1607718145	129688	1301656	262334
1607718155	130178	1307290	263354
1607718165	130794	1312816	264340
1607718175	131306	1318064	265442
1607718185	131802	1323010	266288
1607718195	132326	1328158	267344
1607718205	132746	1332988	268270
1607718215	133372	1337366	269284
1607718225	133878	1342762	270382
1607718235	134258	1347712	271332
1607718245	134802	1352960	272280
1607718255	135220	1358048	273119
1607718265	135712	1363620	274124
1607718275	136202	1368514	274922
1607718285	136632	1374327	275946
1607718295	137142	1379181	276938
1607718305	137658	1384412	278000
1607718315	138120	1389173	278922
1607718325	138768	1393181	279876
1607718335	139238	1397633	280956
1607718345	139612	1403248	282054
1607718355	140096	1408064	283136
1607718365	140544	1413293	283912
1607718375	141128	1418313	284940
1607718385	141708	1423421	285794
1607718395	142202	1428376	286804
1607718405	142930	1433034	287978
1607718415	143368	1437360	288838
1607718425	143848	1442355	289756
1607718435	144344	1447318	290576
1607718445	144870	1451572	291750
1607718455	145300	1456311	292888
1607718465	145884	1461407	293920
1607718475	146356	1465879	294872
1607718485	146792	1470084	295946
1607718495	147340	1475367	296796
1607718505	147774	1480774	297758
1607718515	148098	1485208	298666
1607718525	148538	1489983	299478
1607718535	148868	1494885	300350
1607718546	149472	1499384	301516
1607718556	150050	1504277	302470
1607718566	150516	1509878	303166
1607718576	151158	1514498	304044
1607718586	151600	1519321	304966
1607718596	152064	1524033	305990
1607718606	152542	1529040	306964
1607718616	153092	1533870	307872
1607718626	153528	1538902	308736
1607718636	154034	1543224	309696
1607718646	154540	1547911	310712
1607718656	155200	1553124	311690
1607718666	155758	1558447	312654
1607718676	156180	1562863	313888
1607718686	156846	1568340	314886
1607718696	157390	1573611	315840
1607718706	157828	1578617	316772
1607718716	158350	1582994	317646
1607718726	158932	1587897	318476
1607718736	159388	1592388	319402
1607718746	159912	1597436	320309
1607718756	160454	1602389	321616
1607718766	161048	1606720	322496
1607718776	161558	1611759	323364
1607718786	162074	1616419	324322
1607718796	162702	1621067	325252
1607718806	163212	1626515	326384
1607718816	163592	1630845	327394
1607718826	163978	1636549	328460
1607718836	164460	1641182	329476
1607718846	164876	1646048	330414
1607718856	165244	1651137	331280
1607718866	165752	1655756	332116
1607718876	166156	1660772	333052
1607718886	166492	1665460	334064
1607718896	167002	1669612	335102
1607718906	167424	1674364	336124
1607718916	167860	1679088	337106
1607718926	168334	1684389	338031
1607718936	168808	1689118	339036
1607718946	169136	1694535	339810
1607718956	169656	1699732	340910
1607718966	170192	1704175	341752
1607718976	170700	1709387	342702
1607718986	171164	1713905	343712
1607718996	171602	1718712	344588
1607719006	172022	1723770	345596
1607719016	172406	1728338	346614
1607719026	173014	1733145	347474
1607719036	173576	1738370	348468
1607719046	174052	1744266	349410
1607719056	174530	1749258	350224
1607719066	175112	1754142	351392
1607719076	175674	1758903	352544
1607719086	176094	1763538	353445
1607719096	176666	1769120	354326
1607719106	177152	1773959	355455
1607719116	177696	1778889	356476
